,Gradient Boosting,Linear Regression,MLP,Random Forest
RMSE_MEAN,0.18319242254273962,0.29162282345024093,7.627129343893346,0.17763030387745782
RMSE_MAX,0.2800907194713724,0.7030282180962126,19.65261886842355,0.36746504713674283
RMSE_MIN,0.09011904242629343,0.07314061461197675,1.5934004887208646,0.09210800345830578
RMSE_VAR,0.002589160561894553,0.035176315112745715,16.44614460393075,0.0019019161689924546
R2_MEAN,-6.941274802552228,-20.803662378381315,-20554.936727986234,-6.663399122250033
R2_MAX,0.5551244895404981,0.5674094543419278,-138.19359668048676,0.24366702903600668
R2_MIN,-44.175930991887945,-127.83816248347077,-158455.61405388353,-102.56687665321513
R2_VAR,94.5666476953043,1397.3648494968293,1741324171.383588,216.13228744662507
MAE_MEAN,0.16214074795773625,0.25762499296290425,5.810460510586139,0.1577308139473045
MAE_MAX,0.2620215339509766,0.7015695963593102,13.93126597033252,0.36614308943089424
MAE_MIN,0.07278361178619353,0.059127004673181854,1.404350688580098,0.08541290322580647
MAE_VAR,0.002663065276517036,0.02860926042585921,11.320697885116902,0.0016613273681459258
EVS_MEAN,-2.0579103700288965,-5.2972140718082805,-6240.217488525782,-1.980155548200975
EVS_MAX,0.8261749533126665,0.9206231316624477,-56.42263856729669,0.959862606587864
EVS_MIN,-21.0075932076694,-75.51049731040817,-23145.300584391305,-20.371063866183032
EVS_VAR,29.933183417279814,144.63325118371543,40270749.9463314,28.739211264071667
MAPE_MEAN,0.275343644103306,0.38222350461804355,10.43830647053946,0.2707825303734019
MAPE_MAX,0.6118929621849547,1.3020093114308704,27.318381672843074,0.5974604814976191
MAPE_MIN,0.10388704785533141,0.08386984196987328,2.1323797866751693,0.11730649115448823
MAPE_VAR,0.014459420957277239,0.040023102770398326,47.41586084846394,0.009522225294595876
