,Gradient Boosting,Linear Regression,MLP,Random Forest
RMSE_MEAN,0.21496149862714348,0.15455571897740064,1.929347418431957,0.23215374571135652
RMSE_MAX,0.24723671213905463,0.15455571897740272,4.5880670562463255,0.23788671737411132
RMSE_MIN,0.17321342284740654,0.15455571897739848,1.1462672619059768,0.22622009607611535
RMSE_VAR,0.000221165602588106,7.465934169563707e-31,0.41466196956123835,4.84541914050143e-06
R2_MEAN,-0.011316453108851505,0.4796899881747496,-89.11189096526996,-0.17403881872037325
R2_MAX,0.3464856764049824,0.47968998817476427,-27.619615903225917,-0.11469072665838342
R2_MIN,-0.3314287856310725,0.4796899881747355,-457.51287640361454,-0.23262908226159307
R2_VAR,0.01888272381115995,3.3900821449284746e-29,5076.017414290257,0.0004956949774828365
MAE_MEAN,0.17445488717995525,0.1340045385714138,1.6000837157142453,0.18227953709179062
MAE_MAX,0.20010971933944832,0.13400453857141606,4.128684658889877,0.18730910774410764
MAE_MIN,0.1503777535689334,0.13400453857141165,0.8468284652868722,0.17742878787878785
MAE_VAR,0.00010360103685271515,7.890859148580788e-31,0.3468770111445102,3.461232775457923e-06
EVS_MEAN,-0.0033917059096994313,0.5746168836843786,-59.967896189390565,-0.16572646010879244
EVS_MAX,0.36596842568856147,0.5746168836843899,-21.845077953995453,-0.10669276736883448
EVS_MIN,-0.3171140314535392,0.5746168836843657,-183.47636264673662,-0.2204632455226796
EVS_VAR,0.020057004449751815,2.2245657856807194e-29,1039.8185703654524,0.0004656482053653922
MAPE_MEAN,0.387220923605438,0.28702122375192524,3.0950633560711225,0.4103996220265866
MAPE_MAX,0.44071580180944725,0.2870212237519309,8.538171242188872,0.4252854058275062
MAPE_MIN,0.3106142994692477,0.2870212237519199,1.5746295313867242,0.39774162596053375
MAPE_VAR,0.0009132761027396902,4.292131287784056e-30,1.7653947076335708,2.19714523787603e-05
