Index,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
39,ag_news,46.22,7378,13,230,0.418454687,2.052824175,613.1101537,2.20493865,7,0.142054117,4,1.044420761,0.88,4,0.58,0.57,0.6,0.19
40,ag_news,45.70444444,7382,16,217,0.423985803,2.011281967,600.7028808,2.533734893,3,1.328422328,4,2.168304498,0.83,4,0.57,0.54,0.57,0.2
41,dbpedia,67.19333333,9644,12,1031,0.622660239,1.345390618,91.69354521,1.787065909,13,0.524593355,14,1.933670562,0.91,14,0.38,0.26,0.44,0.06
42,ag_news,45.22333333,7321,10,281,0.432064011,1.98116416,591.7076958,2.657613633,2,0.564710225,4,1.732159464,0.95,4,0.69,0.63,0.66,0.28
43,amazon_review_polarity,101.5533333,8971,19,402,0.350986511,2.074894617,1863.255366,2.128027908,4,0,2,1,0.99,2,0.85,0.81,0.89,0.29
44,ag_news,46.33333333,7337,14,221,0.418571284,2.020656537,603.5027525,2.338926127,7,-0.119522861,4,1.031534392,0.78,4,0.74,0.64,0.66,0.2
45,ag_news,45.77333333,7365,15,208,0.4232783,2.010183208,600.374718,2.250842197,6,-1.195228609,4,2.148994709,0.89,4,0.75,0.69,0.64,0.23
46,amazon_review_full,100.7944444,9043,19,347,0.257751986,2.052495346,459.2458338,2.169721083,5,-0.720576692,5,1.31035503,0.85,5,0.89,0.98,1,0.74
47,yelp_review_polarity,184.4766667,9126,7,1212,0.447351205,1.498766062,1345.891923,1.786670222,2,0,2,1,0.95,2,0.62,0.59,0.61,0.3
48,yahoo_answers,57.49888889,6169,3,606,0.333096473,2.572694654,254.4109158,2.284127346,6,0.628280862,10,2.496970222,0.91,10,0.88,0.88,0.79,0.47
49,yelp_review_polarity,196.7155556,9194,8,1372,0.448845258,1.483094601,1331.818952,1.681760102,2,0,2,1,0.99,2,0.7,0.61,0.77,0.26
50,dbpedia,67.24666667,9640,6,175,0.618614949,1.343046764,91.53380253,1.92800077,12,0.104006287,14,2.084423178,0.94,14,0.5,0.4,0.6,0.09
51,dbpedia,65.45555556,9550,11,193,0.621989839,1.361776283,92.81029126,1.660786051,16,-0.312839637,14,1.889133672,0.96,14,0.48,0.32,0.49,0.1
52,yelp_review_polarity,188.3911111,9313,6,1153,0.44911521,1.510715255,1356.622299,1.972900782,3,0,2,1,0.77,2,0.7,0.66,0.72,0.23
53,amazon_review_full,100.1711111,9084,19,308,0.256506727,2.075623917,464.4208514,2.295512399,4,1.97814142,5,1.781663516,0.86,5,0.82,0.88,0.93,0.71
54,ag_news,46.08888889,7448,12,330,0.419218275,2.036623991,608.2716985,2.248815628,2,-0.618852748,4,1.49298325,0.85,4,0.69,0.71,0.62,0.22
55,amazon_review_polarity,99.95222222,9097,20,320,0.35141425,2.069715825,1858.604811,2.52919674,3,0,2,1,0.55,2,0.82,0.83,0.9,0.25
56,dbpedia,66.95555556,9544,13,225,0.625126178,1.335044882,90.98844351,1.780769886,16,1.013883882,14,1.999067021,0.89,14,0.54,0.41,0.62,0.11
57,amazon_review_polarity,93.93555556,8789,20,414,0.353971411,2.092179306,1878.777017,2.385715431,2,0,2,1,0.99,2,0.58,0.58,0.67,0.25
58,dbpedia,65.15,9405,12,462,0.624906889,1.327982762,90.50713285,1.852068184,13,-0.689508422,14,2.427503904,0.93,14,0.48,0.36,0.63,0.09
59,amazon_review_full,101.5877778,8977,16,313,0.255296563,2.060700207,461.0816713,2.69055319,3,-1.164225789,5,1.644026709,0.91,5,0.93,0.98,0.97,0.75
60,amazon_review_polarity,100.3088889,9029,19,276,0.352226455,2.092922421,1879.444334,2.271858996,2,0,2,1,0.75,2,0.71,0.75,0.71,0.4
61,yelp_review_polarity,177.1922222,9011,5,1445,0.450544988,1.517915679,1363.08828,2.010040521,2,0,2,1,0.56,2,0.74,0.76,0.86,0.23
62,dbpedia,65.52111111,9696,11,143,0.614454795,1.372749452,93.55815497,1.91492852,11,0.367849319,14,3.794537941,0.91,14,0.5,0.3,0.55,0.09
63,ag_news,46.49222222,7310,17,214,0.425847999,2.005572983,598.9977975,2.101011011,7,0.47964711,4,1.653731793,0.85,4,0.68,0.65,0.62,0.26
64,amazon_review_full,99.88777778,8931,17,288,0.261138304,2.053872355,459.5539395,2.558163039,4,-1.986254133,5,1.323043723,0.82,5,0.95,0.96,0.99,0.72
65,yelp_review_polarity,181.9888889,8882,6,1240,0.449372448,1.509260563,1355.315986,1.70381567,2,0,2,1,0.96,2,0.79,0.73,0.81,0.35
66,dbpedia,66.59444444,9540,11,180,0.620900139,1.350840574,92.06498067,1.897649351,13,-0.251683521,14,3.112183657,0.97,14,0.49,0.41,0.55,0.09
67,dbpedia,65.90222222,9643,13,166,0.631233192,1.328272178,90.52685764,1.937314313,11,0.29818195,14,2.359485077,0.92,14,0.48,0.37,0.51,0.13
68,ag_news,45.93222222,7253,16,202,0.437664289,1.983446862,592.3894627,2.426134502,4,-0.928279122,4,2.144861928,0.79,4,0.68,0.68,0.6,0.27
69,yelp_review_full,187.6655556,9209,5,1250,0.3305922,1.454083213,325.3511189,0,0,1.073621877,5,2.955375739,0.92,5,0.87,0.98,0.95,Nan
70,yelp_review_polarity,178.0322222,8866,4,1281,0.445467155,1.511027663,1356.902841,0,0,0,2,1,0.9,2,0.77,0.82,0.78,0.39
71,ag_news,46.04222222,7330,15,209,0.413124776,2.050120767,612.3027356,2.423475687,2,0.814821714,4,2.116097823,0.88,4,0.78,0.72,0.67,0.24
72,yelp_review_polarity,182.54,9248,5,1138,0.448055502,1.51111359,1356.980004,2.153871323,2,0,2,1,0.86,2,0.83,0.84,0.8,0.36
73,yelp_review_polarity,191.6511111,9276,5,1194,0.448377429,1.489725957,1337.77391,1.932714785,3,0,2,0,0.79,2,0.67,0.58,0.64,0.27
74,yelp_review_polarity,185.0444444,9133,4,1348,0.452950981,1.487939359,1336.169544,2.16876591,2,0,2,1,0.85,2,0.76,0.71,0.87,0.29
75,ag_news,46.06666667,7286,11,208,0.431798524,1.992262105,595.022282,2.162781868,7,1.153817942,4,2.179052014,0.88,4,0.64,0.62,0.58,0.25
76,dbpedia,67.73,9686,10,191,0.612862377,1.362424633,92.85447883,1.769135551,14,0.661261515,14,1.616775033,0.91,14,0.46,0.42,0.57,0.04
77,dbpedia,65.70555556,9576,10,164,0.623460464,1.343172369,91.54236297,1.704815435,15,-0.500096145,14,2.490116568,0.96,14,0.47,0.36,0.67,0.05
78,dbpedia,67.18333333,9693,11,296,0.613564393,1.354363606,92.30508886,1.722349247,16,-0.081885884,14,2.758644358,0.92,14,0.49,0.36,0.52,0.09
79,yelp_review_polarity,186.1722222,9091,3,1278,0.458429514,1.476097797,1325.535822,1.765240724,2,0,2,1,0.51,2,0.73,0.69,0.83,0.2
80,yahoo_answers,57.00555556,6085,3,934,0.329131301,2.585898502,255.7166296,2.60524151,4,-0.097849211,10,2.182790403,0.85,10,0.87,0.89,0.83,0.5
81,amazon_review_polarity,98.88555556,9006,17,248,0.353317136,2.084512334,1871.892076,2.522216281,2,0,2,1,0.7,2,0.76,0.76,0.85,0.27
82,yelp_review_polarity,180.7988889,9023,4,1322,0.453939432,1.503350836,1350.00905,1.921081804,3,0,2,1,0.77,2,0.76,0.77,0.8,0.18
83,ag_news,45.65777778,7288,14,195,0.429541381,1.997785218,596.6718518,2.139171826,6,-1.278487054,4,2.26061252,0.87,4,0.63,0.61,0.63,0.22
84,ag_news,46.16111111,7329,15,215,0.434946903,1.98523491,592.923493,2.62312975,2,0,4,2,0.97,4,0.65,0.72,0.71,0.21
85,amazon_review_full,101.9166667,9134,18,352,0.255488183,2.01826168,451.5860509,2.553665012,4,0.529503382,5,1.627143564,0.81,5,0.92,0.96,1,0.63
86,yahoo_answers,61.77111111,6376,3,1002,0.339579806,2.507648852,247.9786087,2.21984991,6,-0.354649683,10,2.421349485,0.93,10,0.89,0.87,0.82,0.5
87,amazon_review_full,101.5988889,8922,19,402,0.257696913,2.052851169,459.3254491,2.457313978,4,-1.178966238,5,2.360467196,0.97,5,0.86,0.91,0.94,0.59
88,amazon_review_polarity,98.12333333,8806,18,517,0.348254183,2.091482496,1878.151281,2.000614797,3,0,2,1,1,2,0.8,0.78,0.9,0.34
89,yelp_review_polarity,177.9888889,8995,5,1211,0.445715435,1.533628971,1377.198816,1.859924963,4,0,2,1,0.97,2,0.64,0.58,0.68,0.36
90,yelp_review_polarity,178.7422222,9027,8,1541,0.446372016,1.520490749,1365.400693,1.84504007,2,0,2,1,0.55,2,0.84,0.85,0.85,0.34
91,yelp_review_full,186.1366667,9047,3,1376,0.323601378,1.493842242,334.2472017,1.927890697,2,1.174170546,5,1.825529844,0.89,5,0.91,0.9,0.92,0.55
92,dbpedia,65.56888889,9566,8,176,0.619646618,1.346300423,91.75555193,1.844993311,14,0.327133779,14,1.712495921,0.91,14,0.44,0.31,0.58,0.09
93,amazon_review_polarity,97.49222222,8870,14,410,0.359982772,2.052936256,1843.536758,2.349878068,5,0,2,1,0.99,2,0.66,0.66,0.81,0.35
94,dbpedia,69.88111111,9784,5,3056,0.610511305,1.368468905,93.2664192,1.849661207,11,-1.137953524,14,2.42329225,0.95,14,0.51,0.44,0.65,0.09
95,dbpedia,65.71666667,9467,5,174,0.612367175,1.362736663,92.87574487,1.80692854,13,0.631158186,14,2.214376064,0.94,14,0.54,0.45,0.69,0.11
96,yelp_review_polarity,185.0688889,9217,6,1061,0.44852437,1.513608679,1359.220594,1.989660939,2,0,2,1,0.87,2,0.77,0.73,0.78,0.28
97,amazon_review_full,102.26,9242,19,293,0.265713575,2.046812119,457.9742115,2.533280747,3,1.677050983,5,1.953125,0.91,5,0.77,0.85,0.89,0.44
98,amazon_review_full,99.75,8815,16,464,0.255045781,2.037433696,455.8757895,2.370625707,2,-1.327901685,5,1.261804621,0.82,5,0.92,0.94,0.95,0.59
99,dbpedia,66.16222222,9505,12,423,0.620936288,1.353826034,92.26845127,2.040727597,11,0.112489015,14,2.025904911,0.9,14,0.47,0.33,0.49,0.09
100,dbpedia,65.71777778,9578,11,190,0.623529156,1.368565911,93.27303054,1.887720761,12,0.43857529,14,1.966151586,0.91,14,0.46,0.37,0.57,0.1
101,ag_news,45.03555556,7373,16,280,0.426482456,2.025339831,604.9014962,2.391677363,2,0.708200528,4,1.924853109,0.91,4,0.52,0.49,0.54,0.18
102,amazon_review_polarity,98.44666667,8839,17,384,0.357185296,2.041244705,1833.037745,2.194534105,6,0,2,1,1,2,0.72,0.68,0.78,0.28
103,ag_news,46.44444444,7552,15,212,0.420316014,2.044455531,610.6107186,2.598663217,4,-0.597614305,4,1.742645503,0.87,4,0.66,0.69,0.69,0.17
104,dbpedia,66.14777778,9402,11,333,0.617332145,1.353837885,92.26925891,1.840432263,13,0.128920513,14,1.821504848,0.94,14,0.47,0.3,0.55,0.08
105,amazon_review_polarity,100.0455556,9013,18,421,0.351944883,2.094789462,1881.120937,2.688543951,3,0,2,0,0.96,2,0.86,0.91,0.88,0.41
106,dbpedia,67.51666667,9775,10,156,0.613770153,1.372791011,93.5609874,1.894550853,13,-0.251435888,14,2.926654925,0.92,14,0.38,0.3,0.49,0.08
107,yelp_review_polarity,183.7011111,9054,4,1328,0.454988838,1.484661797,1333.226294,2.123088598,2,0,2,1,0.87,2,0.83,0.9,0.84,0.34
108,yelp_review_polarity,178.8955556,9093,4,1402,0.452721036,1.499406777,1346.467286,1.888100792,2,0,2,1,0.88,2,0.8,0.73,0.72,0.24
109,dbpedia,67.15222222,9685,9,175,0.610149602,1.375086319,93.71742141,1.771518602,14,0.821846869,14,2.290573517,0.94,14,0.47,0.28,0.48,0.1
110,yelp_review_polarity,187.8088889,9157,5,1301,0.449480171,1.49632838,1343.702885,1.764306182,3,0,2,1,0.51,2,0.76,0.83,0.82,0.27
111,dbpedia,65.96888889,9572,11,532,0.611044905,1.368138161,93.24387772,1.674724402,16,0.895664664,14,2.428386424,0.94,14,0.39,0.32,0.64,0.12
112,yelp_review_polarity,186.6588889,9225,7,1450,0.45303298,1.484111738,1332.732341,1.941868004,2,0,2,1,0.51,2,0.79,0.8,0.86,0.21
113,dbpedia,67.66555556,9715,12,176,0.619893199,1.351576824,92.11515896,1.899035681,15,-0.117810736,14,2.742030863,0.93,14,0.48,0.4,0.54,0.09
114,dbpedia,67.85,9694,11,156,0.611014,1.364271413,92.98034397,1.720114773,15,-0.327093281,14,2.109723695,0.95,14,0.43,0.35,0.66,0.07
115,amazon_review_polarity,100.0633333,8832,19,261,0.362154272,2.029256464,1822.272305,2.410706971,4,0,2,1,0.75,2,0.69,0.68,0.87,0.31
116,ag_news,44.67777778,7283,11,208,0.431682274,2.023548491,604.3664826,2.073475367,11,-0.189358321,4,1.885001825,0.83,4,0.6,0.53,0.54,0.16
117,amazon_review_polarity,100.0333333,9011,18,289,0.35047021,2.09295343,1879.47218,2.330309817,6,0,2,1,0.66,2,0.72,0.73,0.8,0.29
118,yelp_review_polarity,187.0044444,9260,5,1259,0.453588699,1.494498289,1342.059463,1.837903841,2,0,2,1,0.95,2,0.8,0.81,0.86,0.31
119,dbpedia,66.26666667,9671,13,282,0.616983511,1.353854221,92.27037231,1.843876345,15,1.250661739,14,4.348072501,0.91,14,0.52,0.42,0.58,0.07
120,yelp_review_polarity,193.5766667,9265,7,1297,0.447111545,1.51420057,1359.752112,1.743822167,2,0,2,1,0.99,2,0.75,0.72,0.86,0.39
121,amazon_review_polarity,97.50777778,8790,20,305,0.354314048,2.050925502,1841.731101,2.350482057,3,0,2,1,0.82,2,0.84,0.82,0.9,0.33
122,yelp_review_polarity,190.3688889,9232,6,1550,0.455251345,1.48414029,1332.75798,2.004051595,2,0,2,1,0.71,2,0.59,0.57,0.74,0.3
123,dbpedia,66.45666667,9730,13,219,0.611671697,1.372354307,93.53122429,1.768961352,13,0.428032548,14,2.707858188,0.94,14,0.49,0.35,0.64,0.05
124,yelp_review_full,190.88,9138,4,1213,0.326768683,1.480430773,331.2463854,1.719390643,2,0,5,1.67731569,0.85,5,0.85,0.96,0.94,0.65
125,amazon_review_polarity,97.86222222,8948,16,278,0.358914187,2.079261605,1867.176921,2.469049487,2,0,2,1,0.61,2,0.55,0.54,0.64,0.35
126,amazon_review_polarity,96.80666667,8840,17,523,0.350675471,2.101092496,1886.781062,2.410714273,4,0,2,1,0.83,2,0.66,0.69,0.84,0.31
127,ag_news,45.87444444,7305,10,214,0.422778415,2.010401909,600.4400367,2.410859625,2,-0.564432521,4,1.418513588,0.84,4,0.64,0.61,0.56,0.16
128,amazon_review_polarity,96.87444444,8938,21,286,0.354786039,2.074306229,1862.726994,2.144205284,2,0,2,1,0.79,2,0.78,0.75,0.91,0.3
129,yelp_review_polarity,190.1277778,9144,7,1183,0.452719862,1.483535165,1332.214578,1.614864034,2,0,2,1,0.85,2,0.82,0.85,0.89,0.33
130,amazon_review_polarity,101.5877778,9054,17,381,0.353106341,2.058915512,1848.90613,2.300729407,5,0,2,1,0.55,2,0.78,0.76,0.88,0.25
131,ag_news,46.54,7418,11,212,0.423759621,2.005839446,599.0773813,2.554681659,3,0.685994341,4,2.071767269,0.85,4,0.65,0.57,0.56,0.23
132,amazon_review_polarity,98.08666667,9119,17,433,0.353661861,2.092203993,1878.799186,2.419535088,3,0,2,1,0.84,2,0.56,0.55,0.65,0.29
133,yelp_review_polarity,201.6077778,9536,6,1248,0.45274579,1.476533207,1325.92682,1.844409838,4,0,2,1,0.83,2,0.78,0.78,0.82,0.22
134,ag_news,45.10777778,7342,12,207,0.422257499,2.034912827,607.7606311,2.938710301,2,0.707106781,4,1.407407407,0.89,4,0.6,0.59,0.61,0.17
135,dbpedia,66.20888889,9647,12,249,0.617957925,1.362821797,92.88154709,1.752095424,17,0.141618185,14,2.39120522,0.92,14,0.46,0.34,0.56,0.09
136,yelp_review_polarity,184.8211111,8944,3,1384,0.446551496,1.503615791,1350.24698,1.668529587,2,0,2,1,0.87,2,0.74,0.76,0.88,0.29
137,dbpedia,67.6,9768,11,158,0.620146549,1.340093116,91.33250009,1.8640165,11,-0.409768774,14,3.561022499,0.93,14,0.5,0.38,0.64,0.13
138,ag_news,46.28222222,7362,10,345,0.425211738,2.040424412,609.4067576,2.406309293,4,0.834829759,4,2,0.84,4,0.64,0.62,0.61,0.12
139,yelp_review_polarity,177.0755556,8990,6,1240,0.448632328,1.509029049,1355.108086,1.938481925,3,0,2,1,0.9,2,0.82,0.86,0.78,0.23
140,dbpedia,66.56,9653,7,146,0.608187203,1.357811421,92.54007069,1.904006029,12,0.307459347,14,2.567440683,0.92,14,0.49,0.4,0.57,0.06
141,yelp_review_polarity,195.7211111,9422,9,1711,0.463053907,1.443171416,1295.967931,1.803306594,2,0,2,1,0.98,2,0.75,0.77,0.86,0.31
142,dbpedia,66.26888889,9507,12,430,0.628377284,1.324505046,90.27011314,2.012078711,11,0.595749305,14,2.091920294,0.89,14,0.49,0.39,0.61,0.1
143,dbpedia,65.58777778,9369,5,159,0.611532736,1.363522753,92.92931997,1.817576503,12,-0.084575112,14,2.779455419,0.93,14,0.43,0.38,0.56,0.1
144,ag_news,45.96333333,7368,16,209,0.425700821,2.015126955,601.8512507,3.257612233,2,0.334887343,4,1.969866364,0.87,4,0.63,0.62,0.61,0.21
145,amazon_review_polarity,97.32666667,8783,21,370,0.354492401,2.066154726,1855.406944,2.265394135,5,0,2,1,0.84,2,0.72,0.73,0.82,0.3
146,ag_news,45.88,7324,14,206,0.422689859,2.012772766,601.1481327,2.239641245,6,-0.4077766,4,1.822581591,0.78,4,0.74,0.63,0.61,0.16
147,yelp_review_polarity,194.6733333,9384,4,1331,0.455226004,1.481781779,1330.640038,1.976881185,2,0,2,1,0.63,2,0.81,0.74,0.77,0.26
148,ag_news,46.05555556,7393,14,207,0.41980238,2.033927258,607.4662743,2.072741488,6,-0.160356745,4,1.275885714,0.82,4,0.63,0.63,0.52,0.24
149,amazon_review_polarity,101.2111111,9057,18,312,0.357269093,2.077462909,1865.561692,2.095731698,5,0,2,1,0.79,2,0.74,0.68,0.81,0.3
150,yelp_review_polarity,190.4911111,9348,8,1391,0.451092382,1.502852935,1349.561935,1.72704086,2,0,2,1,0.96,2,0.56,0.54,0.58,0.21
151,yelp_review_polarity,188.05,9144,4,1234,0.447018166,1.490127488,1338.134484,2.008463347,2,0,2,1,0.91,2,0.8,0.71,0.73,0.22
152,yelp_review_polarity,188.7766667,9366,5,1213,0.4551059,1.502176174,1348.954204,1.864336923,2,0,2,1,0.95,2,0.69,0.7,0.76,0.33
153,yelp_review_polarity,189.6677778,9162,6,1485,0.457494968,1.489847618,1337.883161,1.793798159,2,0,2,1,1,2,0.68,0.69,0.71,0.23
154,yahoo_answers,62.87,6239,3,1564,0.339592742,2.478217909,245.0682154,2.118117754,5,0.740295812,10,1.722264846,0.91,10,0.9,0.92,0.83,0.56
155,ag_news,45.95111111,7400,15,204,0.426727363,1.998112628,596.7696381,2.192181015,2,-0.593969696,4,2.07225344,0.76,4,0.64,0.67,0.63,0.21
156,dbpedia,64.6,9558,11,169,0.608828022,1.383612239,94.29849564,1.993084793,12,0.895516154,14,2.07953583,0.98,14,0.44,0.34,0.57,0.12
157,ag_news,45.88111111,7341,12,207,0.421227122,2.018440681,602.8409499,2.424895208,2,-0.286038777,4,1.333553719,0.84,4,0.66,0.56,0.51,0.17
158,dbpedia,67.86222222,9740,12,141,0.619734491,1.339311709,91.27924417,2.020237154,10,-0.569485921,14,2.21091038,0.93,14,0.39,0.32,0.52,0.03
159,amazon_review_polarity,97.32333333,8952,18,407,0.353011226,2.079314962,1867.224836,2.304330934,4,0,2,1,1,2,0.71,0.72,0.84,0.26
160,ag_news,45.73333333,7294,11,212,0.428613062,1.98964087,594.2394066,2.773113458,3,0.588977992,4,1.713144634,0.86,4,0.64,0.62,0.54,0.23
161,yelp_review_polarity,187.0822222,9171,4,1584,0.456460404,1.4773201,1326.63345,0,0,0,2,1,0.95,2,0.78,0.73,0.74,0.35
162,yahoo_answers,60.06111111,6187,3,516,0.332251373,2.512302839,248.4388363,2.753166727,3,0.150300903,10,1.713722359,0.91,10,0.9,0.84,0.86,0.59
163,yelp_review_polarity,191.9655556,9228,5,1135,0.450342161,1.49427192,1341.856184,1.880154907,2,0,2,1,0.6,2,0.74,0.8,0.82,0.39
164,yelp_review_polarity,180.1133333,9050,5,1258,0.447487256,1.517703922,1362.898122,1.751008877,2,0,2,1,0.54,2,0.72,0.77,0.77,0.35
165,ag_news,44.39333333,7214,14,197,0.427372153,2.006193657,599.1831723,2.232402119,2,-0.593442426,4,1.520907372,0.89,4,0.7,0.6,0.57,0.13
166,amazon_review_polarity,98.06333333,8929,20,254,0.350690904,2.100986639,1886.686002,2.270391955,2,0,2,1,0.91,2,0.68,0.64,0.76,0.26
167,dbpedia,68.02333333,9704,11,200,0.627010311,1.325757789,90.35549237,1.974012052,11,-0.404519917,14,2.515368727,0.9,14,0.41,0.34,0.64,0.11
