,Gradient Boosting,Linear Regression,MLP,Random Forest
RMSE_MEAN,0.16172379347156035,0.28708272292945064,7.758161301229873,0.14384674200923134
RMSE_MAX,0.3062464847432044,0.7808040132273102,18.175851781417663,0.2911611388599485
RMSE_MIN,0.06043746046474284,0.09474255538952656,2.0968770958735887,0.07014557916997967
RMSE_VAR,0.004868332313849739,0.054908367371923554,24.95484985062773,0.004984574376248163
R2_MEAN,-2.632981913915252,-13.086136050022924,-10906.175853961426,-1.894612381163576
R2_MAX,0.5565919474173646,0.5924037405855183,-154.25751410137985,0.6757720299721209
R2_MIN,-14.197522790718008,-97.79037919296388,-59855.32302553412,-12.963111991910793
R2_VAR,13.333544029891947,522.2822110645176,171839043.11835775,11.244394160008511
MAE_MEAN,0.1421676770731689,0.25840959567455374,5.839816373384664,0.12400539739042846
MAE_MAX,0.29192285632289033,0.7449941838257828,16.50616912680728,0.27009973333333337
MAE_MIN,0.04687496705550831,0.07495833786732589,1.6920631775835486,0.05912345679012331
MAE_VAR,0.004225921438930333,0.046091535242888226,16.372463836596783,0.004190797911223359
EVS_MEAN,-0.22753347434068222,-1.8643581801694837,-5327.3141622426465,-0.1692097585244386
EVS_MAX,0.7834622455264019,0.8105924289577675,-51.00887210288651,0.8225624077780413
EVS_MIN,-2.495231755314809,-10.982511994375187,-20929.18319791133,-2.432858808407183
EVS_VAR,0.6821519603112576,11.729704359869546,32788308.500188578,0.5888822883694985
MAPE_MEAN,0.2260764713253923,0.3689980069405261,10.042542564789155,0.19441884641646193
MAPE_MAX,0.4145505838793128,1.0654295527053843,28.31295095853292,0.37814946223124496
MAPE_MIN,0.0808455984919473,0.12057014999810985,2.4621430361644587,0.08846967269242695
MAPE_VAR,0.010211003513883106,0.07124026091006572,52.29598412672698,0.007456597978911093
