Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Number of cluster,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
yelp_review_polarity,188.4922222222222,9157,4,1375,3,2,0.67,0.64,0.82,0.23,
ag_news,46.41444444444444,7437,13,215,11,4,0.68,0.67,0.61,0.13,
yahoo_answers,60.26555555555556,6276,3,615,4,10,0.89,0.91,0.85,0.59,
dbpedia,67.71777777777778,9740,13,155,14,14,0.54,0.43,0.6,0.09,
ag_news,46.50333333333333,7418,11,217,3,4,0.66,0.6,0.69,0.21,
yelp_review_polarity,190.08777777777777,9302,4,1224,3,2,0.82,0.78,0.77,0.33,
amazon_review_polarity,99.82333333333334,9175,17,342,3,2,0.78,0.68,0.85,0.35,
amazon_review_polarity,95.20444444444445,8943,18,256,4,2,0.78,0.77,0.85,0.44,
yahoo_answers,59.50222222222222,6179,3,880,6,10,0.91,0.9,0.87,0.52,
dbpedia,66.85888888888888,9560,5,160,17,14,0.46,0.34,0.6,0.1,
yelp_review_polarity,199.0088888888889,9419,5,1271,4,2,0.74,0.74,0.76,0.25,
ag_news,46.483333333333334,7598,12,342,3,4,0.66,0.67,0.6,0.2,
yelp_review_full,191.57,9347,4,1204,3,5,0.84,0.94,Nan,0.65,
